ID,Text,Entities,Relations
2,8月3日，五里冲街道办事处召开南明区亚太中心党建联盟成立仪式暨南明区亚太中心党建联盟第一次联席会议。区直相关部门、亚太中心党建联盟成员单位及部分辖区企业有关人员参加。,机构(5-13): 五里冲街道办事处; 机构(18-26): 亚太中心党建联盟; 机构(34-42): 亚太中心党建联盟; 机构(50-56): 区直相关部门; 机构(57-69): 亚太中心党建联盟成员单位; 机构(72-76): 辖区企业; 人物(76-80): 有关人员,"机构间<亚太中心党建联盟,亚太中心党建联盟>; 机构间<五里冲街道办事处,亚太中心党建联盟>; 机构-人物<区直相关部门,有关人员>; 机构-人物<亚太中心党建联盟成员单位,有关人员>; 机构-人物<辖区企业,有关人员>; 机构间<五里冲街道办事处,亚太中心党建联盟>"
3,签约现场。,,
4,会上，亚太中心党建联盟成员单位签订了《亚太中心党建联盟倡议书》。相关负责人介绍了南明区楼宇党群服务亚太站打造情况及《南明区亚太中心党建联盟暨南明区楼宇党群服务亚太站“1+1＋N”工作方案》，与会人员就该工作方案内容进行交流发言。,机构(3-11): 亚太中心党建联盟; 机构(19-27): 亚太中心党建联盟; 机构(40-52): 南明区楼宇党群服务亚太站; 人物(32-37): 相关负责人; 机构(61-69): 亚太中心党建联盟; 机构(70-82): 南明区楼宇党群服务亚太站; 人物(95-99): 与会人员,"机构-人物<亚太中心党建联盟,相关负责人>; 机构-人物<亚太中心党建联盟,相关负责人>; 机构间<亚太中心党建联盟,南明区楼宇党群服务亚太站>; 机构-人物<南明区楼宇党群服务亚太站,与会人员>"
5,据介绍，亚太中心作为南明区楼宇经济代表之一，在此建设南明区楼宇党群服务亚太站，是创新探索区域化党建工作的有效路径。南明区将以南明区楼宇党群服务亚太站为阵地，通过构建“亚太中心”党建联盟体系、创建“1+1+N”区域化党建工作模式，充分发挥街道党工委党建引领作用，调动辖区非公企业党组织参与社会基层治理的积极性，引导辖区非公企业党组织健康发展，推动党建与经济社会发展同频共振，构建楼宇党建工作新格局，助推南明区楼宇经济高质量发展。,机构(4-8): 亚太中心; 机构(26-38): 南明区楼宇党群服务亚太站; 机构(83-87): 亚太中心; 机构(118-125): 街道党工委党建; 机构(134-141): 非公企业党组织; 机构(158-165): 非公企业党组织; 机构(62-74): 南明区楼宇党群服务亚太站,"机构间<亚太中心,南明区楼宇党群服务亚太站>; 机构间<南明区楼宇党群服务亚太站,亚太中心>; 机构间<街道党工委党建,非公企业党组织>; 机构间<街道党工委党建,非公企业党组织>"
6,会议现场。,,
7,据了解，南明区楼宇党群服务亚太站已于2023年3月正式开放运营。南明区亚太中心党建联盟正式成立后，将采取“联席会议制+定期报告制+成员轮值制”的工作机制，共同促进南明区楼宇党群服务亚太站“公转带自转、自转促公转”协调运行。同时，以“党建联盟联席会议”为议事机构，定期召开联席会议，开展好民主商议党建联盟工作，助力南明区楼宇党群服务亚太站运行等。（文/图 熊道娴）,机构(4-16): 南明区楼宇党群服务亚太站; 机构(32-43): 南明区亚太中心党建联盟; 机构(81-93): 南明区楼宇党群服务亚太站; 机构(116-124): 党建联盟联席会议; 机构(156-168): 南明区楼宇党群服务亚太站; 人物(177-180): 熊道娴,"机构间<南明区楼宇党群服务亚太站,南明区亚太中心党建联盟>; 机构间<南明区楼宇党群服务亚太站,党建联盟联席会议>; 机构间<南明区亚太中心党建联盟,南明区楼宇党群服务亚太站>"
8,人民网讯 11月5日，亚太传播学会联盟在北京举办2023学术年会。国际传播学会和国际传播与媒介研究学会的代表、欧洲联盟政策顾问，以及来自亚太17个国家、地区的30位新闻与传播领域的专家学者出席了本次年会，围绕“人工智能时代的传播研究：问题、机遇与展望”进行了深入的研讨与交流，展示了视野宏阔、富有活力的传播研究现状与前景。,机构(0-3): 人民网; 机构(11-19): 亚太传播学会联盟; 机构(33-39): 国际传播学会; 机构(39-51): 和国际传播与媒介研究学会; 国家(55-59): 欧洲联盟; 国家(68-70): 亚太; 机构(40-51): 国际传播与媒介研究学会; 人物(52-54): 代表; 人物(59-63): 政策顾问; 人物(61-63): 顾问; 人物(90-94): 专家学者; 人物(82-94): 新闻与传播领域的专家学者,"机构间<国际传播学会,国际传播与媒介研究学会>; 机构-人物<国际传播学会,代表>; 机构-人物<国际传播与媒介研究学会,代表>; 国家-人物<欧洲联盟,顾问>; 国家-人物<亚太,新闻与传播领域的专家学者>; 国家-人物<欧洲联盟,政策顾问>; 国家-人物<亚太,专家学者>"
9,本次年会就人工智能时代的教育与传播研究、政策与规制、伦理风险、人机交互、新闻可信度、数字素养、人机协作等议题进行了富有洞察力的研究成果展示与学术观点分享。,,
10,年会还组织了专题论坛，各国学者共同探讨了人工智能时代的东西文明交流、跨文化教育、多学科交融、产业与政策、环境传播、信息伦理等热点议题，展现了人工智能时代传播学科多层次、宽领域的学科关怀。,人物(11-15): 各国学者,
11,本届年会由亚太传播学会联盟与亚洲舆论学会联合举办，由清华大学新闻与传播学院、《全球传媒学刊》承办。清华大学原党委常委、副书记韩景阳，清华大学新闻与传播学院院长周庆安，亚太新闻传播学会联盟主席、清华大学新闻与传播学院教授陈昌凤，亚洲舆论学会会长、菲律宾圣保罗大学教授简媞玛·科考，中国新闻史学会会长、中国人民大学新闻学院副院长王润泽等致欢迎辞。,国家(5-7): 亚太; 国家(122-125): 菲律宾; 国家(139-141): 中国; 国家(149-151): 中国; 机构(5-13): 亚太传播学会联盟; 机构(14-22): 亚洲舆论学会联合; 机构(5-13): 亚太传播学会联盟; 机构(26-37): 清华大学新闻与传播学院; 机构(26-30): 清华大学; 机构(39-45): 全球传媒学刊; 机构(49-53): 清华大学; 机构(66-70): 清华大学; 机构(66-77): 清华大学新闻与传播学院; 国家(83-85): 亚太; 机构(83-93): 亚太新闻传播学会联盟; 机构(96-100): 清华大学; 机构(96-107): 清华大学新闻与传播学院; 机构(113-119): 亚洲舆论学会; 机构(125-130): 圣保罗大学; 机构(122-130): 菲律宾圣保罗大学; 机构(139-146): 中国新闻史学会; 机构(149-155): 中国人民大学; 机构(149-159): 中国人民大学新闻学院; 机构(26-37): 清华大学新闻与传播学院; 人物(49-65): 清华大学原党委常委、副书记韩景阳; 人物(62-65): 韩景阳; 人物(79-82): 周庆安; 人物(66-82): 清华大学新闻与传播学院院长周庆安; 人物(109-112): 陈昌凤; 人物(83-112): 亚太新闻传播学会联盟主席、清华大学新闻与传播学院教授陈昌凤; 人物(132-138): 简媞玛·科考; 人物(130-138): 教授简媞玛·科考; 人物(113-138): 亚洲舆论学会会长、菲律宾圣保罗大学教授简媞玛·科考; 人物(139-165): 中国新闻史学会会长、中国人民大学新闻学院副院长王润泽; 人物(159-165): 副院长王润泽; 人物(162-165): 王润泽,"机构-人物<清华大学,周庆安>; 机构-人物<清华大学新闻与传播学院,周庆安>; 机构-人物<清华大学,清华大学新闻与传播学院院长周庆安>; 机构-人物<清华大学新闻与传播学院,清华大学新闻与传播学院院长周庆安>; 国家-机构<亚太,亚太新闻传播学会联盟>; 机构-人物<亚太新闻传播学会联盟,亚太新闻传播学会联盟主席、清华大学新闻与传播学院教授陈昌凤>; 机构间<清华大学,清华大学新闻与传播学院>; 国家-人物<清华大学新闻与传播学院,陈昌凤>; 机构间<亚洲舆论学会,菲律宾圣保罗大学>; 国家-机构<菲律宾,圣保罗大学>; 国家-机构<菲律宾,菲律宾圣保罗大学>; 机构-人物<菲律宾圣保罗大学,教授简媞玛·科考>; 机构-人物<菲律宾圣保罗大学,简媞玛·科考>; 国家-机构<中国,中国新闻史学会>; 国家-机构<中国,中国人民大学>; 国家-人物<中国人民大学新闻学院,副院长王润泽>; 国家-人物<中国人民大学新闻学院,王润泽>; 国家-人物<王润泽,中国新闻史学会>; 国家-人物<中国新闻史学会,副院长王润泽>; 机构间<清华大学,全球传媒学刊>"
