Entity,Relation,Sentiment
五里冲街道办事处,"机构间<亚太中心党建联盟,亚太中心党建联盟>",neutral
亚太中心党建联盟,"机构间<五里冲街道办事处,亚太中心党建联盟>",neutral
亚太中心党建联盟,"机构-人物<区直相关部门,有关人员>",neutral
区直相关部门,"机构-人物<亚太中心党建联盟成员单位,有关人员>",neutral
亚太中心党建联盟成员单位,"机构-人物<辖区企业,有关人员>",neutral
辖区企业,"机构间<五里冲街道办事处,亚太中心党建联盟>",neutral
亚太中心党建联盟,"机构-人物<亚太中心党建联盟,相关负责人>",positive
亚太中心党建联盟,"机构-人物<亚太中心党建联盟,相关负责人>",positive
南明区楼宇党群服务亚太站,"机构间<亚太中心党建联盟,南明区楼宇党群服务亚太站>",positive
相关负责人,"机构-人物<南明区楼宇党群服务亚太站,与会人员>",positive
亚太中心,"机构间<亚太中心,南明区楼宇党群服务亚太站>",positive
南明区楼宇党群服务亚太站,"机构间<南明区楼宇党群服务亚太站,亚太中心>",positive
亚太中心,"机构间<街道党工委党建,非公企业党组织>",positive
街道党工委党建,"机构间<街道党工委党建,非公企业党组织>",positive
南明区楼宇党群服务亚太站,"机构间<南明区楼宇党群服务亚太站,南明区亚太中心党建联盟>",positive
南明区亚太中心党建联盟,"机构间<南明区楼宇党群服务亚太站,党建联盟联席会议>",positive
南明区楼宇党群服务亚太站,"机构间<南明区亚太中心党建联盟,南明区楼宇党群服务亚太站>",positive
人民网,"机构间<国际传播学会,国际传播与媒介研究学会>",positive
亚太传播学会联盟,"机构-人物<国际传播学会,代表>",positive
国际传播学会,"机构-人物<国际传播与媒介研究学会,代表>",positive
和国际传播与媒介研究学会,"国家-人物<欧洲联盟,顾问>",positive
欧洲联盟,"国家-人物<亚太,新闻与传播领域的专家学者>",positive
亚太,"国家-人物<欧洲联盟,政策顾问>",positive
国际传播与媒介研究学会,"国家-人物<亚太,专家学者>",positive
各国学者,,positive
亚太,"机构-人物<清华大学,周庆安>",neutral
菲律宾,"机构-人物<清华大学新闻与传播学院,周庆安>",neutral
中国,"机构-人物<清华大学,清华大学新闻与传播学院院长周庆安>",neutral
中国,"机构-人物<清华大学新闻与传播学院,清华大学新闻与传播学院院长周庆安>",neutral
亚太传播学会联盟,"国家-机构<亚太,亚太新闻传播学会联盟>",neutral
亚洲舆论学会联合,"机构-人物<亚太新闻传播学会联盟,亚太新闻传播学会联盟主席、清华大学新闻与传播学院教授陈昌凤>",neutral
亚太传播学会联盟,"机构间<清华大学,清华大学新闻与传播学院>",neutral
清华大学新闻与传播学院,"国家-人物<清华大学新闻与传播学院,陈昌凤>",neutral
清华大学,"机构间<亚洲舆论学会,菲律宾圣保罗大学>",neutral
全球传媒学刊,"国家-机构<菲律宾,圣保罗大学>",neutral
清华大学,"国家-机构<菲律宾,菲律宾圣保罗大学>",neutral
清华大学,"机构-人物<菲律宾圣保罗大学,教授简媞玛·科考>",neutral
清华大学新闻与传播学院,"机构-人物<菲律宾圣保罗大学,简媞玛·科考>",neutral
亚太,"国家-机构<中国,中国新闻史学会>",neutral
亚太新闻传播学会联盟,"国家-机构<中国,中国人民大学>",neutral
清华大学,"国家-人物<中国人民大学新闻学院,副院长王润泽>",neutral
清华大学新闻与传播学院,"国家-人物<中国人民大学新闻学院,王润泽>",neutral
亚洲舆论学会,"国家-人物<王润泽,中国新闻史学会>",neutral
圣保罗大学,"国家-人物<中国新闻史学会,副院长王润泽>",neutral
菲律宾圣保罗大学,"机构间<清华大学,全球传媒学刊>",neutral
亚太,"机构间<亚太传播学会联盟,亚洲舆论学会>",positive
亚太传播学会联盟,"国家-机构<菲律宾,亚太传播学会联盟>",positive
亚洲舆论学会,"国家-机构<菲律宾,亚洲舆论学会>",positive
亚洲,"机构间<亚太传播学会联盟,清华大学>",positive
世界城地组织,"机构-人物<人民网,张帆>",neutral
人民网,"机构-人物<人民网,张帆>",neutral
张帆,"国家-机构<亚太,世界城地组织亚太区>",neutral
亚太,"国家-机构<亚太,世界城市和地方政府联合组织>",positive
世界城地组织,"机构-人物<联合国,潘基文>",positive
联合国,"机构-人物<博鳌亚洲论坛,潘基文>",positive
博鳌亚洲论坛,"机构-人物<潘基文,博鳌亚洲论坛>",positive
潘基文,"机构-人物<联合国,潘基文>",positive
亚太,"国家-机构<亚太,亚太命运共同体>",positive
亚太命运共同体,"国家-机构<中国,中国人民对外友好协会>",positive
亚太,"机构-人物<中国人民对外友好协会,鄢东>",positive
亚太,"机构-人物<金华市委,王健>",positive
亚太国家,"机构-人物<义乌市委,王健>",positive
金华市委,"机构间<金华市委,义乌市委>",positive
一带一路,,positive
王健,,positive
中国,"国家-机构<中国,东南亚友好合作条约>",positive
东南亚,"国家-机构<东南亚,东南亚友好合作条约>",positive
东南亚友好合作条约,"国家间<中国,东盟>",positive
中国,"机构-人物<中国—东盟中心,史忠俊>",positive
东盟,"机构-人物<中国—东盟中心,史忠俊>",positive
与会嘉宾,"机构-人物<亚太,与会嘉宾>",positive
亚太,"国家间<“东亚地区,中国>",positive
“东亚地区,"国家-机构<亚太,亚太城市和地方政府经贸合作圆桌对话会>",positive
中国,"国家-人物<中国,政府负责人>",positive
亚太,"国家-人物<中国,政府负责人>",positive
亚太城市和地方政府经贸合作圆桌对话会,"国家-人物<菲律宾,政府负责人>",positive
中国,"国家-人物<新西兰,政府负责人>",positive
中国,"国家-人物<日本,政府负责人>",positive
菲律宾,"国家-人物<马来西亚,政府负责人>",positive
亚太,,positive
亚太,,positive
亚太经合组织,,positive
亚太,,positive
亚太经合组织,"机构-人物<亚太经合组织,领导人>",positive
亚太,"国家-机构<亚太,亚太命运共同体>",positive
亚太,,neutral
亚太,"国家-机构<亚太经合组织,亚太>",positive
亚太经合组织,"国家-机构<亚太,亚太经合组织>",positive
亚太,,positive
亚太经合组织,,positive
亚太经合组织,,positive
亚太,,positive
亚太,,positive
亚太,,positive
亚太,,positive
亚太经合组织,,positive
亚太,,positive
亚太经合组织,"国家-机构<亚太,亚太经合组织>",positive
亚太,"国家-机构<亚太,亚太经合组织>",positive
亚太,"国家-机构<亚太,亚太共同体>",positive
亚太经合组织,"国家-机构<亚太,亚太经合组织>",positive
亚太共同体,"国家-机构<亚太,亚太自由贸易区>",positive
亚太,"国家-机构<亚太,亚太经合组织>",positive
亚太经合组织,"国家-机构<亚太,亚太经合组织>",positive
亚太经合组织,"国家-机构<亚太,亚太大家庭>",positive
亚太,"国家间<亚太,亚太各国>",positive
亚太经合组织,"国家-机构<亚太,亚太经合组织>",positive
亚太,"国家-机构<亚太,亚太命运共同体>",positive
亚太,,positive
亚太,"国家间<亚太,亚太地区>",neutral
亚太地区,"国家间<亚太,亚太地区>",neutral
亚太,"国家间<亚太,个别国家>",neutral
亚太,"国家间<亚太,亚太地区>",neutral
亚太地区,"国家-人物<印度尼西亚,总统佐科>",neutral
亚太,"国家-人物<印度尼西亚,佐科>",neutral
印度尼西亚,"国家-机构<东盟成员国,东盟>",neutral
亚太,"国家间<各国,各国>",positive
联合国,"国家间<各国,各国>",positive
亚太,,positive
亚太,,positive
亚太各成员,,positive
亚太,,positive
亚太,,positive
国际货币基金组织,,positive
亚太,,positive
亚太地区,,positive
亚太地区,,positive
亚太,,positive
亚太,,positive
亚太各经济体,,positive
亚太,,positive
亚太,,positive
亚太,,positive
亚太,"国家-人物<新加坡,总理李显龙>",neutral
亚太,"国家-人物<新加坡,新加坡总理李显龙>",neutral
亚太地区,"国家-人物<新加坡,李显龙>",neutral
亚太,"国家间<亚太,亚太地区>",neutral
亚太,"国家间<亚太,地区各方>",positive
亚太,"国家-机构<亚太,亚太经合组织>",positive
亚太,"国家间<亚太,各方>",positive
亚太经合组织,"国家间<各国,亚太>",positive
亚太,"国家间<亚太,亚太各成员>",positive
亚太各成员,"国家-机构<亚太,亚太命运共同体>",positive
亚太,"国家-机构<亚太,亚太自由贸易区>",positive
亚太,"国家-机构<亚太,亚太自由贸易区>",positive
亚太,"国家-机构<亚太,亚太命运共同体>",positive
人民日报,,neutral
习近平,"机构-人物<亚太经合组织,领导>",neutral
国家主席习近平,"机构-人物<亚太经合组织工商领导人峰会,领导>",neutral
亚太经合组织,"机构-人物<国家主席习近平,亚太经合组织工商领导人峰会>",neutral
领导,"机构-人物<习近平,亚太经合组织工商领导人峰会>",neutral
习近平,"国家-人物<亚太,亚太地区领导人>",positive
亚太地区领导人,"机构-人物<亚太经合组织,亚太经合组织领导人>",positive
亚太,"国家-机构<亚太,亚太经合组织>",positive
习近平,"国家-机构<亚太,亚太经合组织>",positive
联合国,"国家-机构<亚太,联合国>",positive
亚太,"国家-机构<亚太自由贸易区,亚太>",positive
习近平,"国家-人物<中国,习近平>",positive
中国,"国家-人物<中国,习近平>",positive
中国,"国家-人物<中国,习近平>",positive
中国,"国家-人物<中国,习近平>",positive
中国,"国家-人物<中国,习近平>",positive
中国,"国家-人物<中国,习近平>",positive
中国,"国家-人物<中国,习近平>",positive
中国,"国家-人物<中国,习近平>",positive
习近平,"机构-人物<亚太经合组织工商领导人峰会,亚太经合组织工商领导人>",positive
习近平主席,"机构-人物<亚太经合组织第二十九次领导人非正式会议,习近平>",positive
亚太,"机构-人物<亚太经合组织工商领导人峰会,习近平>",positive
亚太经合组织,"机构-人物<亚太命运共同体,习近平>",positive
亚太经合组织工商领导人峰会,"国家-机构<亚太,亚太命运共同体>",positive
亚太经合组织工商领导人,"国家-人物<中国,习近平>",positive
