id,text,label,Comments
34224,会议现场。,neutral,
34230,亚太传播学会联盟与亚洲舆论学会还将于12月4日至6日在菲律宾举行同主题学术年会，以加强多区域的合作交流。亚太传播学会联盟于2018年10月25日创建于清华大学，旨在为亚太地区新闻传播研究合作与教育交流提供广泛而紧密的平台。在全球化的背景下，联盟将致力于弥合因语言文化、社会制度、经济发展水平等原因造成的区域间传播隔阂，促进学科研究和高等教育的发展。,positive,
34236,作为此次大会的举办地，义乌与亚太地区往来源远流长，民间交流活跃，友城合作紧密，在经贸投资、科技教育和旅游人文等领域有着广阔的发展空间。“义乌与全球230多个国家和地区有贸易往来，2022年实现外贸进出口4788亿元，其中对亚太国家实现进出口总额1769亿元，占全市进出口总额的37%。”金华市委常委、义乌市委书记王健介绍。,positive,
34242, （一）,neutral,
34248,进一步加强亚太经合组织合作，应当深化伙伴关系。亚太经合组织是一个大家庭，打造发展创新、增长联动、利益融合的开放型亚太经济格局，符合所有成员共同利益。互信、包容、合作、共赢的伙伴关系，是亚太大家庭的精神纽带，是确保亚太合作处在正确轨道上的重要保障。亚太各国国情千差万别，有分歧并不奇怪。关键是要坚持共谋发展这个公约数，发扬伙伴精神，协商处理分歧，探索解决共同挑战。,positive,
34254,环顾今日亚太，各方利益交融、命运与共是基本现实。任何搞“新冷战”的图谋，人民不会答应，时代不会允许。地区各方普遍认为，阵营对抗解决不了问题，以意识形态划线、搞地缘政治小圈子没有前途，亚太地区不是谁的后花园，不应该成为大国角斗场。印度尼西亚总统佐科表示，东盟不能成为任何国家的代理人，也不能卷入大国竞争。新加坡副总理兼财政部长黄循财指出，东盟成员国不想选边站队，没有人希望看到爆发“新冷战”。地区国家的这些声音，充分表明和平、发展、合作、共赢是人心所向、大势所趋。,neutral,
34260,回顾亚太发展历程，开放合作是重要成功密码。几十年来，亚太各经济体打破市场分割，拉紧经济纽带，积极拥抱世界，为经济发展开辟了广阔空间。茂物目标实施26年，亚太区域的贸易额增长5倍，年均增速6.7%；双向投资增长12倍，年均增速超过10%。,positive,
34266, 《 人民日报 》（ 2023年11月14日 03 版）,neutral,
34272,	当地时间11月17日下午，习近平主席应邀在曼谷举行的亚太经合组织工商领导人峰会上发表题为《坚守初心  共促发展  开启亚太合作新篇章》书面演讲。当地时间11月18日上午，习近平主席出席亚太经合组织第二十九次领导人非正式会议并发表题为《团结合作勇担责任  构建亚太命运共同体》的重要讲话。接受本报记者采访的国际人士表示，习近平主席的书面演讲和重要讲话传递出团结合作、共促发展的坚定信念，新形势下，中国将携手各方构建亚太命运共同体，再创亚太合作新辉煌。,positive,
34278,	“和平稳定的环境就像空气，身在其中时感受不到它的重要性，一旦失去就无法生存。”日本众议院前议员、清华大学日本研究中心客座研究员小池政就表示，和平稳定的大环境是推动国际贸易的重要保障，各国应构筑更多沟通的桥梁，深化国与国之间的理解与合作。,neutral,
34284,	澳大利亚时政评论员戴若·顾比表示，习近平主席倡导打造更高水平的开放格局，这既是对中国经济建设成功经验的总结，也为世界经济发展指明了方向。中国成为140多个国家和地区的主要贸易伙伴，货物贸易总额位居世界第一，吸引外资和对外投资居世界前列。当前逆全球化思潮涌动，单边主义、保护主义明显上升，世界各国更需要加强互联互通、开放合作。,positive,
34290,	智利智中商会主席胡安·埃斯特万·穆萨莱姆表示，中国如期打赢脱贫攻坚战，全面建成小康社会，这是对人类发展事业的重大贡献。“在推进共同富裕的过程中，中国一定能以自身新发展为世界带来新机遇。”,positive,
34296,同心协力 共迎挑战,neutral,
